System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
HAT-P-17,TEP,21,38,08.88,+30,29,19.4,10.54,8.54,0.1663,1.5,2454801.16943,0.00015,10.3385378,0.00000060,2022A+A...664A.162M
HAT-P-18,TEP,17,05,23.28,+33,00,45.0,12.76,10.23,0.1131,1.9,2454715.02254,0.00039,5.5080291,0.0000042,2015MNRAS.451.4060S
HAT-P-19,TEP,00,38,04.02,+34,42,41.7,12.90,10.55,0.11804,2.2,2456610.863945,0.000071,4.00878322,0.00000019,2024MNRAS.528.1930K
HAT-P-20,TEP,07,27,39.96,+24,20,11.0,11.34,8.60,0.0770,1.9,2456670.97803,0.00010,2.875317,0.0000004,2022ExA....53..547K
HAT-P-21,TEP,11,25,05.88,+41,01,40.6,11.69,10.11,0.1530,1.1,2454996.41243,0.00060,4.12449009,0.00000090,2022A+A...664A.162M
HAT-P-22,TEP,10,22,43.51,+50,07,42.0,9.73,7.84,0.1196,1.5,2454891.67399,0.00013,3.21223265,0.00000010,2023ApJS..268....2S
HAT-P-23,TEP,20,24,29.99,+16,45,43.7,12.43,10.79,0.0908,1.8,2457742.573862,0.000029,1.21288641,0.00000000,arXiv:2602.01446
HAT-P-24,TEP,07,15,18.00,+14,15,45.4,11.75,10.54,0.1539,1.2,2455216.97744,0.00039,3.35524431,0.00000034,2023AcA....73..159M
HAT-P-25,TEP,03,13,44.51,+25,11,50.7,13.19,10.81,0.1130,1.9,2457006.91299,0.00021,3.65281591,0.00000067,2019A+A...622A..81M
HAT-P-26,TEP,14,12,37.54,+04,03,36.1,11.74,9.58,0.1023,0.6,2455304.652182,0.000032,4.23450158,0.00000018,2022A+A...664A.162M
HAT-P-27,TEP,14,51,04.19,+05,56,50.5,12.16,10.11,0.0705,1.5,2455186.01991,0.00044,3.0395803,0.0000015,2015MNRAS.451.4060S
HAT-P-28,TEP,00,52,00.18,+34,43,42.3,13.03,11.10,0.1341,1.5,2457713.934,0.0005,3.2572124,0.0000012,2022ExA....53..547K
HAT-P-29,TEP,02,12,31.46,+51,46,43.5,11.90,10.30,0.1463,0.9,2455838.596462,0.00065,5.7233746,0.0000034,2022A+A...664A.162M
HAT-P-30,TEP,08,15,47.98,+05,50,12.3,10.36,9.15,0.09404,1.2,2457775.212778,0.000077,2.81060070,0.00000013,2024MNRAS.530.2475Y
HAT-P-31,TEP,18,06,09.00,+26,25,36.0,11.66,10.08,0.214,0.51,2458169.9410,0.0017,5.0052724,0.0000063,2019A+A...622A..81M
HAT-P-32,TEP,02,04,10.27,+46,41,16.2,11.29,9.99,0.12959,3.0,2454420.447196,0.000051,2.15000820,0.00000003,2022AJ....164..220H
HAT-P-33,TEP,07,32,44.20,+33,50,06.2,11.19,10.00,0.1839,1.2,2456035.13775,0.00027,3.47447472,0.00000088,2017AJ....154...49W
HAT-P-34,TEP,20,12,46.88,+18,06,17.5,10.16,9.25,0.1455,0.8,2458686.82646,0.00025,5.4526482,0.0000018,2024ApJS..274...13S
HAT-P-35,TEP,08,13,00.18,+04,47,13.2,12.46,11.03,0.1640,1.2,2456836.75811,0.00041,3.6466566,0.0000012,2019A+A...622A..81M
HAT-P-36,TEP,12,33,03.90,+44,54,55.2,12.26,10.60,0.0923,1.9,2457402.22999,0.00005,1.32734697,0.00000000,2025AJ....169..342W
HAT-P-37,TEP,18,57,11.05,+51,16,08.8,13.23,11.67,0.0971,2.1,2457625.530538,0.000056,2.79744121,0.00000015,2022MNRAS.512.2062B
HAT-P-38,TEP,02,21,31.97,+32,14,46.1,12.56,10.50,0.1267,1.2,2457491.87585,0.00009,4.6403293,0.0000017,2019A+A...622A..81M
HAT-P-39,TEP,07,35,01.97,+17,49,48.3,12.42,11.16,0.1745,1.1,2455208.7504,0.0012,3.5438744,0.0000010,2023AcA....73..159M
HAT-P-40,TEP,22,22,03.33,+45,27,26.6,11.34,10.01,0.2557,0.4,2455813.17584,0.00054,4.457243,0.000010,2012AJ....144..139H
HAT-P-41,TEP,19,49,17.40,+04,40,20.7,11.36,9.73,0.1704,0.8,2456600.29325,0.00050,2.69404861,0.00000092,2020AJ....159..204W
HAT-P-42,TEP,09,01,22.66,+06,05,50.0,12.17,10.63,0.1680,0.8,2455952.5253,0.0015,4.6418410,0.0000021,2023AcA....73..159M
