NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-872 b,,0.0374071,2.57885507,2454966.223,,,0.000294809,,0.178,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1542 d,,0.0632508,5.99273738,2454964.749,,,0.0000632025,,0.078,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
K2-21 b,,0.0747146,9.32414,2440000,,0.7,0.000676,88.3,0.14185,,Petigura 2015,http://adsabs.harvard.edu/abs/2015ApJ...811..102P,Petigura 2015,http://adsabs.harvard.edu/abs/2015ApJ...811..102P
Kepler-424 b,1.03429,0.0436419,3.3118644,,140,0.934,0.00924,,0.89,1.74,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E
Kepler-262 c,,0.152976,21.853722,2454977.31467,,0.07,,,0.146311,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-117 b,0.27543,0.0946483,10.02165,2456533.82326,25.16,0.32,0.00803,89.14,1.021,0.344,Lendl 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..81L,Lendl 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..81L
WASP-75 b,1.06236,0.0375112,2.484193,,146,0.882,0.0107,82,1.27,0.52,Gomez 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G,Gomez 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G
Kepler-1293 b,,0.0650345,5.57654784,2454969.428,,,0.0000506944,,0.087,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-222 b,,0.0487958,3.936981,2455002.65076,,0.57,,,0.281916,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-334 b,,0.0607596,5.470319,2454964.49467,,0.11,,,0.0999197,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1638 b,,0.787843,259.33683,2454998.691,,,0.00033489,,0.167,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-605 b,,0.0427433,3.38353807,2455002.64,,,0.00022201,,0.128,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-327 c,,0.0588339,5.212333,2454965.70664,,0.22,,,0.0918904,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-793 b,,0.0509367,4.24153639,2454966.458,,,0.000175033,,0.122,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1555 b,,0.0800056,8.10501635,2454968.885,,,0.000198246,,0.144,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
