System       , Teff , eup , edn , [Fe/H], eup  , edn  ,    K_A ,  eup ,  edn ,   i    , eup   , edn   ,  r_a    , errup   , errdown ,  r_b     , errup    , errdown  , light_curve_ref     , Overall_reference
WASP-21      , 5800 , 100 , 100 , -0.46 , 0.11 , 0.11 ,   37.2 ,  1.1 ,  1.1 , 86.77  , 0.45  , 0.45  , 0.1069  , 0.0037  , 0.0037  , 0.01170  , 0.00054  , 0.00054  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
WASP-22      , 6153 ,  50 ,  50 , +0.26 , 0.05 , 0.05 ,   70.9 ,  1.6 ,  1.6 , 88.6   , 1.0   , 1.0   , 0.1193  , 0.0027  , 0.0026  , 0.01172  , 0.00039  , 0.00025  , 2016MNRAS.457.4205S , 2016MNRAS.457.4205S
WASP-24      , 6107 ,  77 ,  77 , -0.02 , 0.10 , 0.10 ,  152.1 ,  3.2 ,  3.2 , 83.87  , 0.38  , 0.38  , 0.1684  , 0.0037  , 0.0037  , 0.01713  , 0.00049  , 0.00049  , 2014MNRAS.444..776S , 2014MNRAS.444..776S
WASP-25      , 5736 ,  50 ,  50 , +0.06 , 0.05 , 0.05 ,   75.5 ,  5.3 ,  5.3 , 88.12  , 0.27  , 0.27  , 0.0891  , 0.0014  , 0.0014  , 0.01237  , 0.00028  , 0.00028  , 2014MNRAS.444..776S , 2014MNRAS.444..776S
WASP-26      , 6015 ,  55 ,  55 , -0.02 , 0.09 , 0.09 ,    138 ,    2 ,    2 , 82.83  , 0.27  , 0.27  , 0.1505  , 0.0036  , 0.0036  , 0.01465  , 0.00054  , 0.00054  , 2014MNRAS.444..776S , 2014MNRAS.444..776S
WASP-41      , 5546 ,  50 ,  50 , +0.06 , 0.05 , 0.05 ,    138 ,    2 ,    2 , 88.70  , 0.39  , 0.39  , 0.1004  , 0.0008  , 0.0008  , 0.01373  , 0.00015  , 0.00015  , 2016MNRAS.457.4205S , 2016MNRAS.457.4205S
WASP-42      , 5315 ,  79 ,  79 , +0.29 , 0.05 , 0.05 ,   64.8 ,  1.7 ,  1.7 , 88.00  , 0.17  , 0.17  , 0.0739  , 0.0017  , 0.0017  , 0.00955  , 0.00025  , 0.00025  , 2016MNRAS.457.4205S , 2016MNRAS.457.4205S
WASP-55      , 6070 ,  53 ,  53 , +0.09 , 0.05 , 0.05 ,     70 ,    4 ,    4 , 89.05  , 0.59  , 0.59  , 0.0918  , 0.0015  , 0.0009  , 0.01143  , 0.00025  , 0.00013  , 2016MNRAS.457.4205S , 2016MNRAS.457.4205S
WASP-57      , 5600 , 100 , 100 , -0.25 , 0.10 , 0.10 ,    100 ,    7 ,    7 , 86.05  , 0.28  , 0.28  , 0.1143  , 0.0029  , 0.0029  , 0.01331  , 0.00051  , 0.00051  , 2015MNRAS.454.3094S , 2015MNRAS.454.3094S
XO-1         , 5750 ,  50 ,  50 , +0.02 , 0.05 , 0.05 ,  116.0 ,  9.0 ,  9.0 , 89.06  , 0.84  , 0.84  , 0.0886  , 0.0019  , 0.0019  , 0.01166  , 0.00035  , 0.00035  , 2008MNRAS.386.1644S , 2010MNRAS.408.1689S
