AERONET_Site,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Month,440-870_Angstrom_Exponent,440-675_Angstrom_Exponent,340-440_Angstrom_Exponent,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Scattering_AOD[440nm],Scattering_AOD[675nm],Scattering_AOD[870nm],Scattering_AOD[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],count
ARM_LaPorte,29.669,-95.059,7,8,1.057457,1.213738,0.901217,0.1406,0.09275,0.0679,0.0628,0.000965575,0.000605219,0.000452667,0.000426364,0.139634425,0.092144781,0.067447333,0.062373636,0.713394,0.684319,0.688817,0.694319,23
ARM_LaPorte,29.669,-95.059,7,9,1.649743,1.715958,1.318127,0.1758,0.08695,0.0579,0.050029,0.001207312,0.000567372,0.000386,0.000339659,0.174592688,0.086382628,0.057514,0.049689341,0.687437,0.620372,0.610426,0.612378,37
ARM_LaPorte,29.669,-95.059,7,10,1.429039,1.7048815,1.1545905,0.0846125,0.05485,0.0400605,0.032625,0.000581079,0.000357911,0.00026707,0.000221499,0.084031421,0.054492089,0.03979343,0.032403501,0.683534,0.6547625,0.6563855,0.665729,18
ARM_LaPorte,29.669,-95.059,7,11,1.381837,1.526065,1.128136,0.077883,0.0469,0.0334,0.028683,0.000534864,0.000306035,0.000222667,0.000194736,0.077348136,0.046593965,0.033177333,0.028488264,0.686663,0.628301,0.62296,0.63403,19
ARM_LaPorte,29.669,-95.059,7,12,1.391399,1.405742,0.745194,0.068814,0.035986,0.0258,0.0228,0.000472582,0.000234818,0.000172,0.000154795,0.068341418,0.035751182,0.025628,0.022645205,0.736247,0.705068,0.673642,0.659946,5
ARM_La_Jolla,32.866906,-117.256723,7.6,1,0.6189025,0.5757545,0.611284,0.040768,0.030741,0.0271525,0.0249355,0.000271352,0.000203488,0.000184637,0.00017072,0.040496648,0.030537512,0.026967863,0.02476478,0.735899,0.702706,0.7088645,0.712841,32
ARM_La_Jolla,32.866906,-117.256723,7.6,2,0.6721785,0.648201,0.6930635,0.05855,0.0456435,0.0413305,0.0389725,0.000389709,0.000302134,0.000281047,0.000266823,0.058160291,0.045341366,0.041049453,0.038705677,0.7231235,0.693583,0.7005605,0.708256,24
ARM_La_Jolla,32.866906,-117.256723,7.6,3,0.68266,0.722443,0.944971,0.082633,0.0579,0.0515,0.04745,0.000550006,0.000383266,0.0003502,0.000324864,0.082082994,0.057516734,0.0511498,0.047125136,0.709049,0.67952,0.693113,0.704953,13
ARM_La_Jolla,32.866906,-117.256723,7.6,4,0.7507535,0.8077335,0.987302,0.119825,0.0842125,0.0725125,0.0678375,0.000797557,0.00055744,0.000493085,0.000464446,0.119027443,0.08365506,0.072019415,0.067373054,0.711163,0.6934995,0.7105665,0.720097,14
ARM_La_Jolla,32.866906,-117.256723,7.6,5,0.959922,1.000557,1.148748,0.093825,0.061125,0.048125,0.04255,0.0006245,0.000404613,0.00032725,0.000291316,0.0932005,0.060720387,0.04779775,0.042258684,0.657363,0.635849,0.651615,0.669885,5
ARM_La_Jolla,32.866906,-117.256723,7.6,6,0.936638,0.989542,1.1310395,0.0982125,0.06767,0.050543,0.045257,0.000653704,0.000447938,0.000343692,0.00030985,0.097558796,0.067222062,0.050199308,0.04494715,0.720283,0.669038,0.6693045,0.68308,10
